Title,Link,OriginalLink,Description,PubDate,Year,Keyword
"KB손해보험, '반짝반짝 폐지수거 어르신 교통사고 예방 지원' 사업 박차",https://www.joongangenews.com/news/articleView.html?idxno=520704,https://www.joongangenews.com/news/articleView.html?idxno=520704,이와 함께 보이스피싱 등 일상생활에서 발생할 수 있는 금융사기 피해 예방 및 대응 방법에 대한 교육도 진행해 큰 호응을 얻었다. KB손해보험은 폐지수거 어르신들을 위한 생계형 노동 특성상 교통사고 위험을... ,2026-05-20 16:08:00+09:00,2026.0,보이스피싱 피해
[보험 NOW] KB라이프·하나손보·교보생명·KB손보,http://www.wikileaks-kr.org/news/articleView.html?idxno=187630,http://www.wikileaks-kr.org/news/articleView.html?idxno=187630,또한 최근 고령층 피해가 늘고 있는 보이스피싱 등 금융사기 예방 교육도 함께 진행해 생활 안전 지원 범위를 확대했다. 보건복지부가 지난 2023년 발표한 실태조사에 따르면 전국 약 4만2000명의 어르신이 폐지수거를 통해... ,2026-05-20 16:04:00+09:00,2026.0,보이스피싱 피해
"단골 얼굴 멍 자국 유심히 본 편의점주, 60대 가정폭력범 잡았다",https://n.news.naver.com/mnews/article/666/0000107803?sid=102,https://www.kyeonggi.com/article/20260520580276,"또 파주경찰서는 가슴팍 높이의 계곡물에 빠진 치매 노인을 발견해 직접 구조한 시민 D씨와, 은행원으로서 기지를 발휘해 보이스피싱 추가 피해를 예방한 E씨 등에게도 각각 공로를 인정해 신고 포상금을 수여했다.... ",2026-05-20 16:01:00+09:00,2026.0,보이스피싱 피해
"제주농협, 보이스피싱 막는다… 금융사기 대응 교육 실시",https://www.newsjeju.net/news/articleView.html?idxno=421105,https://www.newsjeju.net/news/articleView.html?idxno=421105,"이번 교육은 최근 보이스피싱, 메신저 사기, 대출사기 등 전기통신금융사기 수법이 지능화·고도화됨에 따라... 교육은 ▲전기통신금융사기 대응 방안 ▲피해구제 환급 절차 등 실무 중심 프로그램으로 진행됐다. 특히... ",2026-05-20 15:58:00+09:00,2026.0,보이스피싱 피해
"경북농협, ‘금융사기 예방교육·우유 소비 캠페인’ 펼쳐",https://n.news.naver.com/mnews/article/662/0000095654?sid=102,https://www.nongmin.com/article/20260520500029,‘경북농협 농심천심(農心天心) 미래교육 봉사단’ 활동의 하나로 연 이번 행사는 최근 고령층을 대상으로 급증하고 있는 보이스피싱 피해를 예방하기 위한 목적이다. 행사에서 봉사단 소속 전문강사가 최근 빈번하게... ,2026-05-20 15:54:00+09:00,2026.0,보이스피싱 피해
"[제주경제소식] 제주은행, 4·3 유족 초청 행사",https://n.news.naver.com/mnews/article/421/0008956610?sid=102,https://www.news1.kr/local/jeju/6172900,공유하며 영업 현장의 대응력을 높이는 데 중점을 뒀다. 한편 지난 1월 제주시농협 서부지점 양정윤 과장과 NH농협은행 노형금융센터 신지원 계장 등이 보이스피싱 피해를 막아 제주경찰청으로부터 감사장을 받기도 했다.,2026-05-20 15:52:00+09:00,2026.0,보이스피싱 피해
"KB손해보험, 폐지수거 어르신 교통안전 지원…'반짝반짝 캠페인' 9년째 ...",https://www.industrynews.co.kr/news/articleView.html?idxno=81271,https://www.industrynews.co.kr/news/articleView.html?idxno=81271,인더스트리뉴스 이주엽 기자  KB손해보험이 폐지수거 어르신들의 교통사고 예방과 금융사기 피해 방지를... 이와 함께 보이스피싱 등 일상생활에서 발생할 수 있는 금융사기 예방 및 대응 방법에 대한 교육도 함께... ,2026-05-20 15:48:00+09:00,2026.0,보이스피싱 피해
“통장만 보내지 말고 사람도 보내쇼” 1170억 돈세탁 한·중 조직 덜미...,https://n.news.naver.com/mnews/article/016/0002646117?sid=102,https://biz.heraldcorp.com/article/10742078?ref=naver,이들이 공급한 계좌에 입금된 범죄수익금은 310억원 규모로 대부분 보이스피싱과 투자·리딩사기 피해금이었다. 중국 심천에 거점을 둔 자금세탁 조직 ‘ㄴ’은 별도로 860억원 상당을 세탁한 것으로 파악됐다. “통장만... ,2026-05-20 15:46:00+09:00,2026.0,보이스피싱 피해
"KB손보, 폐지수거 어르신 안전 공백 줄인다…'반짝반짝 캠페인' 9년째",http://www.newsian.co.kr/news/articleView.html?idxno=89912,http://www.newsian.co.kr/news/articleView.html?idxno=89912,"이와 함께 보이스피싱 등 일상생활에서 발생할 수 있는 금융사기 피해 예방 및 대응 방법에 대한 교육도 진행해 큰 호응을 얻었다. 김규동 KB손해보험 ESG상생금융Unit장은 ""폐지수거 어르신들은 교통사고뿐 아니라 각종... ",2026-05-20 15:44:00+09:00,2026.0,보이스피싱 피해
“코인·상품권으로 돈세탁”…한중 범죄조직 1170억 세탁망 적발,https://n.news.naver.com/mnews/article/025/0003524632?sid=102,https://www.joongang.co.kr/article/25429947,이들은 보이스피싱과 투자사기 피해금을 대포통장에 모은 뒤 테더코인(USDT)과 상품권 거래 등을 이용해 해외로 빼돌린 것으로 조사됐다. 서울경찰청 광역수사단 광역범죄수사대는 20일 범죄수익은닉규제법... ,2026-05-20 15:40:00+09:00,2026.0,보이스피싱 피해
